codigo_ponto;perfuracao__data;perfuracao__profundidade_final_m;perfuracao__metodo;boca_do_tubo__data;boca_do_tubo__diametro_pol;profundidade_util__data;url_detalhe;html_local;imagem_origem_url;imagem_local;updated_at_utc
2900001698;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900001698;data/raw/html_pocos/2900001698.html;;;2026-04-10T17:27:08.366928+00:00
2900001698;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900001698;data/raw/html_pocos/2900001698.html;;;2026-04-10T17:27:08.366928+00:00
2900001699;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900001699;data/raw/html_pocos/2900001699.html;;;2026-04-10T17:27:08.764940+00:00
2900001699;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900001699;data/raw/html_pocos/2900001699.html;;;2026-04-10T17:27:08.764940+00:00
2900023756;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900023756;data/raw/html_pocos/2900023756.html;;;2026-04-10T17:27:09.166688+00:00
2900023756;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900023756;data/raw/html_pocos/2900023756.html;;;2026-04-10T17:27:09.166688+00:00
2900030002;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900030002;data/raw/html_pocos/2900030002.html;;;2026-04-10T17:27:09.560849+00:00
2900030002;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900030002;data/raw/html_pocos/2900030002.html;;;2026-04-10T17:27:09.560849+00:00
2900031222;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900031222;data/raw/html_pocos/2900031222.html;;;2026-04-10T17:27:09.947981+00:00
2900031222;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900031222;data/raw/html_pocos/2900031222.html;;;2026-04-10T17:27:09.947981+00:00
2900033599;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033599;data/raw/html_pocos/2900033599.html;;;2026-04-10T17:27:10.341096+00:00
2900033599;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033599;data/raw/html_pocos/2900033599.html;;;2026-04-10T17:27:10.341096+00:00
2900033600;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033600;data/raw/html_pocos/2900033600.html;;;2026-04-10T17:27:10.733313+00:00
2900033600;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033600;data/raw/html_pocos/2900033600.html;;;2026-04-10T17:27:10.733313+00:00
2900033821;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033821;data/raw/html_pocos/2900033821.html;;;2026-04-10T17:27:11.133706+00:00
2900033821;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033821;data/raw/html_pocos/2900033821.html;;;2026-04-10T17:27:11.133706+00:00
