codigo_ponto;topo_m;base_m;captacao;condicao;penetracao;data;nivel_da_agua_m;vazao_m3_h;aquifero_no_ponto__aquifero;data__nivel_da_agua_m;data__vazao_m3_h;url_detalhe;html_local;imagem_origem_url;imagem_local;updated_at_utc;topo_m_0_base_m_100_captacao_condicao_penetracao;aquifero;condicao__penetracao;topo_m_0_base_m_72_captacao_condicao_penetracao;topo_m_0_base_m_70_captacao_condicao_penetracao;topo_m_0_base_m_78_captacao_condicao_penetracao;topo_m_0_base_m_62_5_captacao_condicao_penetracao;topo_m_0_base_m_60_captacao_condicao_penetracao;topo_m_0_base_m_80_captacao_condicao_penetracao;topo_m_0_base_m_90_captacao_condicao_penetracao;topo_m_0_base_m_120_captacao_condicao_penetracao;topo_m_0_base_m_66_captacao_condicao_penetracao;topo_m_0_base_m_61_captacao_condicao_penetracao;topo_m_0_base_m_80_captacao_condicao_livre_penetracao;captacao__condicao;topo_m_0_base_m_114_captacao_condicao_penetracao;topo_m_0_base_m_96_captacao_condicao_penetracao;topo_m_0_base_m_150_captacao_condicao_penetracao;topo_m_0_base_m_126_captacao_condicao_penetracao;topo_m_0_base_m_138_captacao_condicao_penetracao;topo_m_0_base_m_105_captacao_condicao_penetracao;topo_m_0_base_m_54_captacao_condicao_penetracao;topo_m_10_base_m_70_captacao_condicao_penetracao;topo_m_0_base_m_110_captacao_condicao_penetracao;topo_m_0_base_m_48_captacao_condicao_penetracao;topo_m_0_base_m_115_captacao_condicao_penetracao;topo_m_0_base_m_67_captacao_condicao_penetracao;topo_m_0_base_m_108_captacao_condicao_penetracao;topo_m_0_base_m_68_captacao_condicao_penetracao;topo_m_0_base_m_102_captacao_condicao_penetracao;topo_m_0_base_m_84_captacao_condicao_penetracao;topo_m_0_base_m_130_captacao_condicao_penetracao;topo_m_30_base_m_90_captacao_condicao_penetracao;topo_m_0_base_m_86_captacao_condicao_penetracao;topo_m_0_base_m_156_captacao_condicao_penetracao;topo_m_0_base_m_107_captacao_condicao_penetracao;topo_m_0_base_m_140_captacao_condicao_penetracao;topo_m_0_base_m_57_captacao_condicao_penetracao;topo_m_10_base_m_72_captacao_condicao_penetracao;topo_m_53_3_base_m_132_captacao_condicao_penetracao
2900001698;16;55;SimultÃ¢nea;Livre;Parcial;;0;0;Fissural | Topo (m): 16 Base (m): 55 Captação: SimultÃ¢nea Condição: Livre Penetração: Parcial | Topo (m): | 16 | Base (m): | 55 | Captação: | SimultÃ¢nea | Condição: | Livre | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900001698;data/raw/html_pocos/2900001698.html;;;2026-04-10T17:27:08.366928+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900001699;2;38.5;Ãnica;Livre;Parcial;;0;0;Fissural | Topo (m): 2 Base (m): 38.5 Captação: Ãnica Condição: Livre Penetração: Parcial | Topo (m): | 2 | Base (m): | 38.5 | Captação: | Ãnica | Condição: | Livre | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900001699;data/raw/html_pocos/2900001699.html;;;2026-04-10T17:27:08.764940+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900023756;0;100;;;;;0;0;Fissural | Topo (m): 0 Base (m): 100 Captação: Condição: Penetração: | Topo (m): | 0 | Base (m): | 100 | Captação: | Condição: | Penetração:;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900023756;data/raw/html_pocos/2900023756.html;;;2026-04-10T17:27:09.166688+00:00;Topo (m):;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900030002;0;0;;;;;0;0;| Topo (m): 0 Base (m): 0 Captação: Condição: Penetração: | Topo (m): | 0 | Base (m): | 0 | Captação: | Condição: | Penetração:;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900030002;data/raw/html_pocos/2900030002.html;;;2026-04-10T17:27:09.560849+00:00;;Topo (m): 0 Base (m): 0 Captação: Condição: Penetração:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900031222;0;0;;;;;0;0;| Topo (m): 0 Base (m): 0 Captação: Condição: Penetração: | Topo (m): | 0 | Base (m): | 0 | Captação: | Condição: | Penetração:;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900031222;data/raw/html_pocos/2900031222.html;;;2026-04-10T17:27:09.947981+00:00;;Topo (m): 0 Base (m): 0 Captação: Condição: Penetração:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900033599;0;0;;;;;0;0;| Topo (m): 0 Base (m): 0 Captação: Condição: Penetração: | Topo (m): | 0 | Base (m): | 0 | Captação: | Condição: | Penetração:;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033599;data/raw/html_pocos/2900033599.html;;;2026-04-10T17:27:10.341096+00:00;;Topo (m): 0 Base (m): 0 Captação: Condição: Penetração:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900033600;0;0;;;;;0;0;| Topo (m): 0 Base (m): 0 Captação: Condição: Penetração: | Topo (m): | 0 | Base (m): | 0 | Captação: | Condição: | Penetração:;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033600;data/raw/html_pocos/2900033600.html;;;2026-04-10T17:27:10.733313+00:00;;Topo (m): 0 Base (m): 0 Captação: Condição: Penetração:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900033821;0;64;;;Parcial;;0;0;Fissural | Topo (m): 0 Base (m): 64 Captação: Condição: Penetração: Parcial | Topo (m): | 0 | Base (m): | 64 | Captação: | Condição: | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033821;data/raw/html_pocos/2900033821.html;;;2026-04-10T17:27:11.133706+00:00;;;Parcial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900033822;0;72;;;Parcial;;0;0;Fissural | Topo (m): 0 Base (m): 72 Captação: Condição: Penetração: Parcial | Topo (m): | 0 | Base (m): | 72 | Captação: | Condição: | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033822;data/raw/html_pocos/2900033822.html;;;2026-04-10T17:27:11.534132+00:00;;;Parcial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900033823;0;60;;;Parcial;;0;0;Fissural | Topo (m): 0 Base (m): 60 Captação: Condição: Penetração: Parcial | Topo (m): | 0 | Base (m): | 60 | Captação: | Condição: | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033823;data/raw/html_pocos/2900033823.html;;;2026-04-10T17:27:11.935612+00:00;;;Parcial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900033824;0;88;;;Parcial;;0;0;Fissural | Topo (m): 0 Base (m): 88 Captação: Condição: Penetração: Parcial | Topo (m): | 0 | Base (m): | 88 | Captação: | Condição: | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033824;data/raw/html_pocos/2900033824.html;;;2026-04-10T17:27:12.336901+00:00;;;Parcial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
